date,availability
2020/09/07,30.60458
2020/09/08,31.58569
2020/09/09,31.36218
2020/09/10,31.11979
2020/09/11,31.18571
2020/09/12,30.57687
2020/09/13,31.63995
2020/09/14,30.96125
2020/09/15,30.98365
2020/09/16,31.14542
2020/09/17,31.78339
2020/09/18,31.35979
2020/09/19,31.26355
2020/09/20,30.79915
2020/09/21,33.05552
2020/09/22,33.20172
2020/09/23,33.53026
2020/09/24,33.63583
2020/09/25,34.34439
2020/09/26,33.16235
2020/09/27,33.62175
2020/09/28,35.68649
2020/09/29,36.855
2020/09/30,36.91667
2020/10/01,36.93
2020/10/02,36.52525
2020/10/03,34.20361
2020/10/04,35.44874
2020/10/05,37.4934
2020/10/06,38.31456
2020/10/07,38.58057
2020/10/08,39.07208
2020/10/09,39.23347
2020/10/10,38.77126
2020/10/11,39.04827
2020/10/12,39.3925
2020/10/13,40.28859
2020/10/14,40.63514
2020/10/15,40.93788
2020/10/16,41.18776
2020/10/17,41.48303
2020/10/18,41.69122
2020/10/19,41.66533
2020/10/20,40.59343
2020/10/21,40.29093
2020/10/22,40.22495
2020/10/23,40.40118
2020/10/24,41.08281
2020/10/25,39.98142
2020/10/26,41.81234
2020/10/27,41.43323
2020/10/28,41.50092
2020/10/29,41.6861
2020/10/30,42.39373
2020/10/31,41.18662
2020/11/01,40.74687
2020/11/02,41.30071
2020/11/03,43.66445
2020/11/04,43.70014
2020/11/05,43.67508
2020/11/06,43.03109
2020/11/07,44.15991
2020/11/08,44.97037
2020/11/09,45.91575
2020/11/10,46.07
2020/11/11,45.41407
2020/11/12,45.42167
2020/11/13,45.96552
2020/11/14,43.88125
2020/11/15,43.76335
2020/11/16,45.06226
2020/11/17,45.71938
2020/11/18,45.64708
2020/11/19,45.83339
2020/11/20,47.08952
2020/11/21,46.73418
2020/11/22,46.81991
2020/11/23,47.3525
2020/11/24,47.71414
2020/11/25,47.47968
2020/11/26,43.9141
2020/11/27,47.10547
2020/11/28,46.71107
2020/11/29,46.96226
2020/11/30,47.49458
2020/12/01,47.32521
2020/12/02,46.67091
2020/12/03,46.15069
2020/12/04,45.70552
2020/12/05,45.21475
2020/12/06,46.01869
2020/12/07,45.40875
2020/12/08,45.76692
2020/12/09,46.75712
